algorithm,mean_cost,best_cost,worst_cost,std_cost,mean_time_s,std_time_s,valid_rate,runs
PSO,1594.2820020129534,202.2025557640677,5402.202555764068,1596.2034818163334,6.816820230000007,0.5453472067107186,0.3,10.0
GWO,1860.8502839017415,1162.3343621134134,2163.517575819118,480.56524895268507,9.977356309999958,0.4385711275907832,0.0,10.0
OCA,476.9851490680229,151.21159797379443,1157.82793974453,470.72149756060855,8.037055170000054,0.3176740882358697,0.7,10.0
