comparison,test,statistic,p_value,median_oca,median_baseline,median_gain_pct
OCA_vs_PSO,"Wilcoxon signed-rank (one-sided, OCA < baseline)",4.0,0.0068359375,211.20725590437257,1283.7554865892794,83.54770374025708
OCA_vs_GWO,"Wilcoxon signed-rank (one-sided, OCA < baseline)",0.0,0.0009765625,211.20725590437257,2156.463808917915,90.20585205135654
